id,name,npxG,xA,np_goals,conv_rate,shots,aerial_wins,turnovers,succ_dribbles,pass_success,key_passes,def_inv
24,Aaron Connolly (Brighton),0.37,0.03,0.3,0.1111111111,2.7,2.1,5.2,0.6,0.7068965517,0.5,1.8
9,Alexandre Lacazette (Arsenal),0.42,0.16,0.6,0.1621621622,3.7,1.7,5.1,1.2,0.7628458498,1.5,3.5
6,Anthony Martial (Manchester United),0.46,0.18,0.6,0.2,3,0.7,5.2,1.8,0.825203252,1.1,1.7
19,Ashley Barnes (Burnley),0.4,0.02,0.4,0.1428571429,2.8,4.3,3.8,0.4,0.5609756098,0.4,2.5
29,Callum Robinson (Sheffield United),0.26,0.01,0.2,0.1,2,0.3,4.4,0.7,0.8647058824,0.2,2.5
27,Callum Wilson (Bournemouth),0.3,0.11,0.3,0.2,1.5,1,4.2,0.8,0.6595744681,1.1,2.1
28,Che Adams (Southampton),0.39,0.13,0,0,2,3,5.3,1.2,0.5956284153,1.1,2.2
25,Chris Wood (Burnley),0.61,0.02,0.4,0.2,2,4.1,4.4,0.2,0.6289308176,0.5,2.1
11,Danny Ings (Southampton),0.5,0.09,0.8,0.2857142857,2.8,1.3,3.4,1,0.5714285714,1,5.7
14,David McGoldrick (Sheffield United),0.56,0.08,0,0,2.6,4.4,4.5,1.7,0.7311827957,0.9,5
13,Dominic Calvert-Lewin (Everton),0.51,0.07,0.6,0.2307692308,2.6,6.5,5.1,0.5,0.6216216216,0.6,2.8
26,Dominic Solanke (Bournemouth),0.16,0.05,0,0,1.6,3.5,5,1.5,0.69527897,1.1,4.1
1,Gabriel Jesus (Manchester City),0.91,0.05,0.7,0.1666666667,4.2,2.1,2.6,1.3,0.8585858586,0.7,2.8
23,Gerard Deulofeu (Watford),0.16,0.21,0.1,0.03703703704,2.7,0,5.3,2.3,0.8058608059,1.6,3
7,Harry Kane (Tottenham),0.33,0.1,0.5,0.1785714286,2.8,2.8,3.9,1.1,0.6700507614,1,3
3,Jamie Vardy (Leicester),0.48,0.12,0.7,0.2692307692,2.6,1.4,1.8,0.7,0.7295081967,0.6,2.1
16,Joelinton (Newcastle United),0.16,0.14,0.1,0.05555555556,1.8,6.2,6.6,1.6,0.7749077491,1.3,4.1
15,Jordan Ayew (Crystal Palace),0.28,0.08,0.3,0.1578947368,1.9,3.6,6.3,1.7,0.7678571429,0.6,3.5
17,Neal Maupay (Brighton),0.41,0.07,0.3,0.08571428571,3.5,0.6,4.4,0.8,0.8169014085,0.7,2.7
21,Oliver McBurnie (Sheffield United),0.22,0.06,0.2,0.1,2,6.5,4,0.3,0.6649484536,0.5,5.5
20,Pierre-Emerick Aubameyang (Arsenal),0.47,0.13,0.5,0.2,2.5,0.5,2.7,0.4,0.6975609756,0.7,2.9
4,Raúl Jiménez (Wolverhampton Wanderers),0.31,0.31,0.3,0.08823529412,3.4,2.4,5,2,0.7302158273,1.8,3.6
2,Roberto Firmino (Liverpool),0.53,0.21,0.4,0.1176470588,3.4,1.5,4.1,1.6,0.7962962963,1.1,3.2
10,Sébastien Haller (West Ham),0.37,0.06,0.3,0.12,2.5,7.4,3.2,0.7,0.6956521739,0.9,3.7
5,Sergio Agüero (Manchester City),0.8,0.25,0.8,0.1739130435,4.6,0.2,3.4,1.1,0.7948717949,1.4,1.9
8,Tammy Abraham (Chelsea),0.61,0.16,0.7,0.2,3.5,3.9,4.8,0.5,0.674556213,1,3.1
18,Teemu Pukki (Norwich),0.35,0.16,0.5,0.1851851852,2.7,0.1,2.7,0.9,0.8148148148,1.1,2.1
12,Troy Deeney (Watford),0.28,0.12,0.1,0.04761904762,2.1,6.8,3.1,0.4,0.564516129,0.9,5.2
22,Wesley (Aston Villa),0.31,0.05,0.2,0.1176470588,1.7,3.5,3.7,0.6,0.7237569061,0.6,2.7