id,name,shots,on_target_%,possession,pass_success,turnovers,directness,deep_completions,xG,xG_shot
13,Arsenal,12.1,0.3388429752,54.4,84.2,26.2,0.07814216225,7.842105263,1.24,0.1024793388
10,Aston Villa,12.9,0.3488372093,46.6,78.4,23.5,0.1130524152,5.45,1.1955,0.0926744186
15,Bournemouth,10.7,0.3177570093,47,76.7,24.7,0.102484472,5.5,1.076,0.1005607477
14,Brighton,12.6,0.3412698413,54.2,82.1,26.2,0.08755379014,7.1,1.297,0.1029365079
17,Burnley,9.7,0.3505154639,42.4,67.5,21.4,0.1454880295,3.15,1.2065,0.1243814433
4,Chelsea,16.6,0.3554216867,57.6,84.7,28.1,0.104174872,8.315789474,1.875789474,0.1129993659
9,Crystal Palace,9.8,0.3367346939,46,76.9,27.7,0.1892627412,6.15,0.799,0.08153061224
16,Everton,13.8,0.3333333333,50.1,76.7,26.5,0.09943525615,6.5,1.4345,0.1039492754
3,Leicester,14,0.3642857143,54.1,82.6,23.4,0.1462388217,7.65,1.476,0.1054285714
2,Liverpool,16.1,0.3913043478,57.5,83,24,0.1581231353,10.72222222,1.951666667,0.1212215321
1,Manchester City,20.1,0.3532338308,59.9,88.3,20.8,0.1464821223,14.21052632,2.605789474,0.1296412673
8,Manchester United,15.1,0.3907284768,54.1,82.3,26,0.1982068524,6.55,1.4525,0.09619205298
12,Newcastle United,10.3,0.3398058252,39.2,73.3,23.5,0.1029499109,3.35,0.852,0.0827184466
18,Norwich,11.5,0.3565217391,50.5,80.8,26.1,0.1120186698,6.15,1.0455,0.09091304348
7,Sheffield United,10.3,0.3398058252,45.9,75.1,23.7,0.1397077037,5.473684211,1.278421053,0.1241185488
19,Southampton,12.3,0.3577235772,47.4,73,27.4,0.1617317741,5.4,1.421,0.1155284553
6,Tottenham,12,0.375,52.9,82,27.5,0.2208241585,6.5,1.229,0.1024166667
20,Watford,11.7,0.2820512821,45.4,75.5,23.1,0.1201996095,6.35,1.0935,0.09346153846
11,West Ham,10.8,0.4074074074,48.3,77.6,22.1,0.1624557858,7.263157895,1.094210526,0.1013157895
5,Wolverhampton Wanderers,12.9,0.3410852713,48,79.1,23.5,0.1565799639,5.105263158,1.366842105,0.1059567523