id,name,xG_conceded,xg_shot_conceded,shots_conceded,blocked_shots_%,deep_completions_conceded,ppda,tackles_padj,interceptions_padj
13,Arsenal,1.246315789,0.0793831713,15.7,0.2802547771,6.421052632,10.25,12.92745199,6.737944671
10,Aston Villa,1.8975,0.1036885246,18.3,0.3224043716,10.65,11.33,18.46042052,13.08586771
15,Bournemouth,1.5205,0.1027364865,14.8,0.3108108108,8.85,12.99,15.73972496,15.39505945
14,Brighton,1.5115,0.1180859375,12.8,0.234375,6.85,8.63,13.7987829,8.881975203
17,Burnley,1.2605,0.09549242424,13.2,0.3181818182,6.5,12.08,19.21417529,14.30842841
4,Chelsea,1.075789474,0.1222488038,8.8,0.2840909091,4.842105263,9.17,11.15261932,8.093615162
9,Crystal Palace,1.516,0.1131343284,13.4,0.276119403,7.8,14.26,20.23564291,13.65007865
16,Everton,1.2305,0.1183173077,10.4,0.2403846154,5.2,8.77,18.50700077,10.14900042
3,Leicester,1.144,0.1049541284,10.9,0.247706422,6.25,8.04,15.63735515,9.494108483
2,Liverpool,0.9272222222,0.09760233918,9.5,0.2315789474,4,8.36,9.624639025,6.095604716
1,Manchester City,1.029473684,0.1286842105,8,0.2,3.526315789,8.41,7.964815083,4.984782229
8,Manchester United,0.956,0.0937254902,10.2,0.2254901961,4.95,9.44,12.5258406,7.100635756
12,Newcastle United,1.78,0.1126582278,15.8,0.2658227848,9.7,21.81,24.93289904,16.72146523
18,Norwich,1.632,0.1007407407,16.2,0.2901234568,8.55,11.38,15.60008331,9.847552591
7,Sheffield United,1.122105263,0.1048696508,10.7,0.2429906542,5.842105263,12.26,20.31677031,13.94523879
19,Southampton,1.399,0.1044029851,13.4,0.2537313433,7.05,8.84,22.02081538,11.97028939
6,Tottenham,1.128,0.08173913043,13.8,0.2753623188,6.3,10.44,14.8089338,8.645678115
20,Watford,1.4505,0.1142125984,12.7,0.2677165354,6.7,12.67,20.84248199,13.11850337
11,West Ham,1.878947368,0.1434310968,13.1,0.2061068702,7.473684211,10.47,21.69591763,12.04123429
5,Wolverhampton Wanderers,1.078947368,0.089169204,12.1,0.2561983471,5.894736842,12.86,17.92458831,12.53621514